row,supplier_name,product_name,source_url,http_status,csv_price,page_price,regular_price,price_status,variant_used,variant_table,csv_material,page_material_text,page_material,csv_warranty,page_warranty,ex_vat,material_status
1,Noi That Linco,Bộ ghế sofa phòng khách giá rẻ KL4 GBL2 màu xanh dương,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-giá-rẻ-kl4-gbl2-màu-xanh-dương,200,5800000,5800000,,ok,,,vai_boc,"khung gỗ bạch đàn, nệm mút lò xo (nệm ngồi êm và đàn hồi), vải bố / vải nhung / da công nghiệp, chân gỗ cao su",da_cong_nghiep,36,36,False,conflict
2,Noi That Linco,Bộ ghế sofa phòng khách giá rẻ KL1 Presa vải xám trắng,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-giá-rẻ-kl1-presa-vải-xám-trắng,200,7200000,7200000,,ok,,,vai_boc,"khung gỗ bạch đàn, nệm mút lò xo (nệm ngồi êm và đàn hồi), vải bố / vải nhung / da công nghiệp, chân gỗ cao su",da_cong_nghiep,36,36,False,conflict
3,Noi That Linco,Bộ ghế sofa giá rẻ KT93 Supai cho phòng làm việc nhỏ,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-giá-rẻ-kt93-supai-cho-phòng-làm-việc-nhỏ,200,7300000,7300000,,ok,,,vai_boc,"khung gỗ bạch đàn, nệm mút foam nguyên tấm (nệm mềm ngồi êm, chống xẹp lún), vải nỉ bố (ngoài ra còn có vải nhung / da công nghiệp), chân gỗ cao su",da_cong_nghiep,60,60,False,conflict
4,Noi That Linco,Bộ ghế sofa màu be đẹp KT191 Beiro phòng khách nhỏ,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-màu-be-đẹp-kt191-beiro-phòng-khách-nhỏ,200,7500000,7500000,,ok,,,vai_boc,"khung gỗ bạch đàn, nệm mút foam nguyên tấm (nệm mềm ngồi êm, chống xẹp lún), vải nỉ bố (ngoài ra còn có vải nhung / da công nghiệp), chân gỗ cao su - Sản phẩm đ",da_cong_nghiep,60,60,False,conflict
5,Noi That Linco,Bộ ghế sofa phòng khách nhỏ KT96 Uixe vải nỉ bố giá rẻ,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-nhỏ-kt96-uixe-vải-nỉ-bố-giá-rẻ,200,7700000,7700000,,ok,,,vai_boc,"khung gỗ bạch đàn, nệm mút foam nguyên tấm (nệm mềm ngồi êm, chống xẹp lún), vải nỉ bố (ngoài ra còn có vải nhung / da công nghiệp), chân gỗ cao su",da_cong_nghiep,60,60,False,conflict
6,Tekkashop,"Tekkashop GVVP133 Sofa văng da cao cấp màu nâu sang trọng, kích thước W1830 x D750 x H740 mm",https://tekkashop.com.vn/collections/sofa-văn-phòng/products/tekkashop-gvvp133-sofa-văng-da-cao-cấp-màu-nâu-sang-trọng-kích-thước-w1830-x-d750-x-h740-mm,200,11400000,11400000,19000000,ok,,,,Khung bằng gỗ chịu lực dày kết hợp với gỗ ván ép,,,,False,ok
7,Tekkashop,"Tekkashop GVVP780 Sofa đơn da cao cấp màu nâu sang trọng, kích thước W730 x D750 x H740 mm",https://tekkashop.com.vn/collections/sofa-văn-phòng/products/tekkashop-gvvp780-sofa-đơn-da-cao-cấp-màu-nâu-sang-trọng-kích-thước-w730-x-d750-x-h740-mm,200,6643000,6643000,11072000,ok,,,,Khung bằng gỗ chịu lực dày kết hợp với gỗ ván ép,,,,False,ok
8,Noi That Hunter,Ghế gấp nệm văn phòng GG03,https://noithathunter.com/san-pham/ghe-chan-quy-1/,200,220000,220000,,ok,,,kim_loai,"mặt ngồi bằng nệm giúp người sử dụng có cảm thoải mái , êm ái khi sử dụng khung sắt sơn tĩnh điện Bền – Đẹp – Chắc chắn đảm bảo cho việc sử dụng lâu dài của bạn",kim_loai,,,False,ok
9,Noi That Hunter,Ghế gấp nhựa 2 mảnh,https://noithathunter.com/san-pham/ghe-gap-nhua-2-manh/,200,240000,240000,265000,ok,,,,,,,,False,ok
10,Noi That Hunter,Ghế luna,https://noithathunter.com/san-pham/ghe-luna/,200,245000,245000,290000,ok,,,nhua,đế và lưng đúc liền khối bằng nhựa Chân gỗ có gia cố bằng thép,nhua,,,False,ok
11,Noi That Hunter,Ghế gấp Qui Phúc GG02,https://noithathunter.com/san-pham/ghe-gap-qui-phuc/,200,295000,295000,,ok,,,,,,,,False,ok
12,Noi That Hunter,Ghế xếp liền bàn GG01,https://noithathunter.com/san-pham/ghe-xep-lien-ban/,200,380000,380000,,ok,,,,,,,,False,ok
13,Noi That Hunter,Bàn làm việc chữ K BLVK01,https://noithathunter.com/san-pham/ban-lam-viec-chu-k/,200,480000,480000,600000,ok,,,kim_loai,Khung sắt sơn tĩnh điện,kim_loai,,,False,ok
14,Hoa Phat HCM,Kệ Sắt V Lỗ,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-762.html,200,750000,750000,,ok,,,kim_loai,Kệ sắt sơn tĩnh điện cao cấp,kim_loai,,,False,ok
15,Hoa Phat HCM,Kệ Sắt Đựng Hồ Sơ 3 Tầng,https://hoaphathcm.vn/san-pham/ke-sat-dung-ho-so-3-tang-844.html,200,750000,750000,,ok,,,kim_loai,Kệ sắt sơn tĩnh điện cao cấp,kim_loai,,,False,ok
16,Hoa Phat HCM,Kệ Sắt V Lỗ 3 Tầng Hòa Phát,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-3-tang-hoa-phat-857.html,200,750000,750000,,ok,,,kim_loai,Kệ sắt sơn tĩnh điện cao cấp,kim_loai,,,False,ok
17,Hoa Phat HCM,Kệ Sắt V Lỗ 4 Tầng,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-4-tang-763.html,200,823000,823000,,ok,,,kim_loai,Kệ sắt sơn tĩnh điện cao cấp,kim_loai,,,False,ok
18,Hoa Phat HCM,Kệ Sắt Đựng Hồ Sơ 4 Tầng,https://hoaphathcm.vn/san-pham/ke-sat-dung-ho-so-4-tang-845.html,200,823000,823000,,ok,,,kim_loai,Kệ sắt sơn tĩnh điện cao cấp,kim_loai,,,False,ok
19,Noi That Xuan Hoa,TỦ GỖ VĂN PHÒNG 17-01,https://xuanhoa.vn/sp/tu-go-tg-17-01-bh-2294,200,,,,ok,,,,,,12,12,False,ok
20,Noi That Xuan Hoa,TỦ SẮT VĂN PHÒNG 3A,https://xuanhoa.vn/sp/tu-sat-ca-3a-lg,200,,,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
21,Noi That Xuan Hoa,TỦ SẮT VĂN PHÒNG 1A,https://xuanhoa.vn/sp/tu-sat-ca-1a-lg,200,,,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
22,Noi That Xuan Hoa,TỦ SẮT CHỨA ĐỒ (LOCKER) 9 NGĂN,https://xuanhoa.vn/sp/tu-sat-ca-lk-9n-03-1-724,200,,,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
23,Noi That Xuan Hoa,BÀN LÀM VIỆC BLV-02-00,https://xuanhoa.vn/sp/ban-lam-viec-blv-02-00,200,,,,ok,,,go_cong_nghiep,"Thép sơn tĩnh điện, Gỗ MFC phủ Melamine",go_cong_nghiep,12,12,False,ok
24,Noi That Xuan Hoa,BÀN VI TÍNH ALPHA BVT-07-03,https://xuanhoa.vn/sp/ban-vi-tinh-bvt-07-03-alpha-388,200,,,,ok,,,go_cong_nghiep,Gỗ MFC phủ Melamine,go_cong_nghiep,6,6,False,ok
25,Tekkashop,Tekkashop HTGV8008 Ghế văn phòng chân xoay lưng lưới nệm ngồi màu xanh,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv8008-ghế-văn-phòng-chân-xoay-lưng-lưới-nệm-ngồi-màu-xanh,200,1170000,1170000,1950000,ok,,,luoi_nhua,"Lưng ghế lưới thoáng khí, nệm ngồi bọc vải, tay vịn nhựa cố định, chân nhựa nylon 5 cánh có bánh xe",luoi_nhua,,,False,ok
26,Tekkashop,Tekkashop HTGV8007 Ghế văn phòng chân xoay khung nhựa PP nệm xanh,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv8007-ghế-văn-phòng-chân-xoay-khung-nhựa-pp-nệm-xanh,200,1170000,1170000,1950000,ok,,,vai_boc,"Tựa lưng nhựa PP, nệm ngồi bọc vải, tay vịn nhựa cố định, chân nhựa nylon 5 cánh có bánh xe",vai_boc,,,False,ok
27,Tekkashop,Tekkashop HTGV7061 Ghế phòng họp chân quỳ lưng lưới màu đen,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv7061-ghế-phòng-họp-chân-quỳ-lưng-lưới-màu-đen,200,1390000,1390000,2320000,ok,,,luoi_nhua,Lưng ghế lưới thoáng khí,luoi_nhua,,,False,ok
28,Tekkashop,Tekkashop HTGV7061 Ghế phòng họp chân quỳ lưng lưới nệm xanh,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv7061-ghế-phòng-họp-chân-quỳ-lưng-lưới-nệm-xanh,200,1390000,1390000,2320000,ok,,,luoi_nhua,Lưng ghế lưới thoáng khí,luoi_nhua,,,False,ok
