supplier_name,product_type,product_name,price,unit,region,source_url,collected_at,collected_by,material,moq,stock,delivery_days,warranty_months,trust_score,note
Noi That Linco,sofa,Bộ ghế sofa phòng khách giá rẻ KL4 GBL2 màu xanh dương,5800000,bo,TP.HCM,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-giá-rẻ-kl4-gbl2-màu-xanh-dương,2026-09-18,C,vai_boc,,,,36,,
Noi That Linco,sofa,Bộ ghế sofa phòng khách giá rẻ KL1 Presa vải xám trắng,7200000,bo,TP.HCM,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-giá-rẻ-kl1-presa-vải-xám-trắng,2026-09-18,C,vai_boc,,,,36,,
Noi That Linco,sofa,Bộ ghế sofa giá rẻ KT93 Supai cho phòng làm việc nhỏ,7300000,bo,TP.HCM,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-giá-rẻ-kt93-supai-cho-phòng-làm-việc-nhỏ,2026-09-18,C,vai_boc,,,,60,,
Noi That Linco,sofa,Bộ ghế sofa màu be đẹp KT191 Beiro phòng khách nhỏ,7500000,bo,TP.HCM,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-màu-be-đẹp-kt191-beiro-phòng-khách-nhỏ,2026-09-18,C,vai_boc,,,,60,,
Noi That Linco,sofa,Bộ ghế sofa phòng khách nhỏ KT96 Uixe vải nỉ bố giá rẻ,7700000,bo,TP.HCM,https://www.noithatlinco.com/product-page/bộ-ghế-sofa-phòng-khách-nhỏ-kt96-uixe-vải-nỉ-bố-giá-rẻ,2026-09-18,C,vai_boc,,,,60,,
Tekkashop,sofa,"Tekkashop GVVP133 Sofa văng da cao cấp màu nâu sang trọng, kích thước W1830 x D750 x H740 mm",11400000,cai,Da Nang,https://tekkashop.com.vn/collections/sofa-văn-phòng/products/tekkashop-gvvp133-sofa-văng-da-cao-cấp-màu-nâu-sang-trọng-kích-thước-w1830-x-d750-x-h740-mm,2026-09-18,C,,,,,,,
Tekkashop,sofa,"Tekkashop GVVP780 Sofa đơn da cao cấp màu nâu sang trọng, kích thước W730 x D750 x H740 mm",6643000,cai,Da Nang,https://tekkashop.com.vn/collections/sofa-văn-phòng/products/tekkashop-gvvp780-sofa-đơn-da-cao-cấp-màu-nâu-sang-trọng-kích-thước-w730-x-d750-x-h740-mm,2026-09-18,C,,,,,,,
Noi That Hunter,ghế văn phòng,Ghế gấp nệm văn phòng GG03,220000,cai,Da Nang,https://noithathunter.com/san-pham/ghe-chan-quy-1/,2026-09-18,C,,,,,,,
Noi That Hunter,ghế văn phòng,Ghế gấp nhựa 2 mảnh,240000,cai,Da Nang,https://noithathunter.com/san-pham/ghe-gap-nhua-2-manh/,2026-09-18,C,,,,,,,
Noi That Hunter,ghế văn phòng,Ghế luna,245000,cai,Da Nang,https://noithathunter.com/san-pham/ghe-luna/,2026-09-18,C,,,,,,,
